"dataid","success","I_c","phi_0","f","T","r","C","r_squared","adj_r_squared","rmse","mae","residual_mean","residual_std","error","skipped"
121Ic+,true,0.0000030570764327283844,2.516720256140966,28.384296296005378,0.794793259435107,0.00002528493146295669,0.00001077722721763875,0.16032379579956846,0.09224194140493891,0.000006681156908053802,0.000004225214378988114,5.660086137505146e-8,0.9163384768743634,,
122Ic-,true,0.000003431794045577109,-2.052573430728257,117.99517318204997,2.5099442157189258e-14,-0.00006289154639489639,0.000009105862219796193,0.6049252874500011,0.588463841093751,0.0000020221339901090224,0.0000015562441144016547,-8.373896866575197e-11,0.6285496898018477,,
122Ic+,true,0.00000505436851751537,1.0978920568388446,23.08874156646239,2.9719731048717276e-17,-0.000015194034971949833,0.000011259923819785342,0.25307287575329074,0.2219509122430111,0.0000056089369260093,0.000003716123190050485,-7.78403974978221e-9,0.8642494571862394,,
123Ic+,true,0.0000024453070429292693,-0.004155574847353773,499938.94950736244,0.679995714075518,-0.0016589267326743414,0.000027017971703910165,0.1090041786189786,-0.04823037809531927,7.280378809418283e-8,2.5638464400145696e-8,0.0000014246076368803836,0.07280378808024479,,
123Ic-,true,4.1562416642071454e-8,-1.9591518627247866,518201.15592521435,1.1147469559897514e-18,-0.008837159580180044,0.000015322450841467322,0.2280953513170385,0.09187688390239823,1.9987459547816378e-7,1.6301598792455352e-7,7.294222661517103e-11,0.19987459547816389,,
124Ic+,false,,,,,,,,,,,,,Insufficient data points (11 < 20),
124Ic-,false,,,,,,,,,,,,,Insufficient data points (11 < 20),
125Ic+,true,0.000004322512711004904,-0.9118858403523453,132532.61581604992,0.43417008365814924,-0.015004363181488473,0.00003418925886094247,0.9613049833958159,0.9544764510539011,7.020978308689086e-7,5.09961242262368e-7,-2.920931897438372e-10,0.2808391323475636,,
126Ic+,true,0.000004055524339197876,-0.6964436441362094,132824.59756365514,0.5500501535379837,-0.025546807979214544,0.000029796551172870732,0.9541967429457665,0.9461138152303136,7.557634100331235e-7,5.64023469229571e-7,-6.753986259155909e-10,0.7557634100331232,,
126Ic-,false,,,,,,,,,,,,,Data quality insufficient: y_normalized: insufficient data variation (1 unique values) - skipping file,true
125Ic-,true,4.7430478546305195e-7,-2.7302777659761293,119277.7107413694,0.06647923697649412,-0.006014051523486564,0.000019666756584120733,0.2857760112319897,0.15973648380234085,5.392871671094957e-7,4.139772551973854e-7,1.7487847538641208e-9,0.35952477807299654,,
127Ic,true,0.000003988925059194344,1.282574655942769,133138.25570621417,0.5700315549358913,-0.01071046291424275,0.00002980455610801621,0.9487534989944713,0.945796970090306,7.859132552563035e-7,6.217809422839726e-7,1.3843346389128462e-10,0.4041839598461082,,
128Ic-,false,,,,,,,,,,,,,Insufficient data points (17 < 20),
128Ic+,false,,,,,,,,,,,,,Insufficient data points (17 < 20),
129Ic+,true,0.000003346934789196901,-2.1234450382896704,132254.95518130646,0.5155531471020086,-0.002711453512499349,0.000019451339569247247,0.9676926311442354,0.9632870808457221,5.100229237663484e-7,4.034036241195629e-7,-7.367779480198206e-11,0.17000764125544937,,
130Ic+,true,0.0000029050951004798102,-1.823226243358628,133057.73860606592,0.6298230551486266,-0.017742701400013484,0.0000185646212122094,0.9447079806614432,0.9371681598425491,6.284775197397023e-7,4.957838372973546e-7,-4.943093864512196e-12,0.25139100789588087,,
129Ic-,true,0.000010460238681777535,2.274041978170437,132700.6048875177,7.029285191509005e-14,0.021655316958856086,0.000008247700099112214,0.7473378542632527,0.7128839252991508,0.0000043681964749331166,0.000003478476638661219,-9.2720515361438e-12,0.5026550962009111,,
131Ic,true,0.0000031391631230914483,1.9570374319380965,132108.27006121096,0.5497969497484062,0.0036293946582932686,0.0000190172628642035,0.9337784017566404,0.929957924934908,7.09539897041975e-7,5.262594355052173e-7,-2.501448337755408e-10,0.709539897041975,,
132Ic+,false,,,,,,,,,,,,,Insufficient data points (13 < 20),
130Ic-,false,,,,,,,,,,,,,Data quality insufficient: y_normalized: insufficient data variation (1 unique values) - skipping file,true
132Ic-,false,,,,,,,,,,,,,Insufficient data points (13 < 20),
133Ic+,false,,,,,,,,,,,,,Insufficient data points (3 < 20),
133Ic-,false,,,,,,,,,,,,,Insufficient data points (3 < 20),
134Ic+,true,0.0000037534725444333858,0.4295124325829089,167185.62300100067,4.722671382771426e-16,-0.056126743553733864,0.00005098671482307853,0.9487192095174459,0.9396696582558188,5.992646026473574e-7,4.6252685986412685e-7,-1.299726884383983e-10,0.2996323013236785,,
134Ic-,true,1.0535580535612509e-7,-0.37914973261075685,1236280.1163828727,0.9999999909612223,-0.019448762168199626,0.000005954593112949556,0.15046006984844162,0.0005412586452254731,3.468139197455152e-7,2.4845255940058983e-7,0.00004613556167134493,0.34681391667688105,,
135Ic-,false,,,,,,,,,,,,,Insufficient data points (2 < 20),
136Ic+,false,,,,,,,,,,,,,Insufficient data points (7 < 20),
135Ic+,false,,,,,,,,,,,,,Insufficient data points (2 < 20),
136Ic-,false,,,,,,,,,,,,,Insufficient data points (7 < 20),
137Ic+,false,,,,,,,,,,,,,Insufficient data points (14 < 20),
137Ic-,false,,,,,,,,,,,,,Insufficient data points (14 < 20),
138Ic+,false,,,,,,,,,,,,,Insufficient data points (3 < 20),
138Ic-,false,,,,,,,,,,,,,Insufficient data points (3 < 20),
139Ic+,true,0.000003704517372315389,-1.8946747206230368,158055.09003266785,1.379411427474714e-21,-0.014620060434988865,0.00011925812322559802,0.8383920362314935,0.8163545866266972,0.0000011586932810764232,9.314638948658893e-7,2.401434171343128e-13,0.2896733202691056,,
139Ic-,false,,,,,,,,,,,,,Data quality insufficient: y_normalized: insufficient data variation (1 unique values) - skipping file,true
140Ic+,false,,,,,,,,,,,,,Insufficient data points (2 < 20),
140Ic-,false,,,,,,,,,,,,,Insufficient data points (2 < 20),
141Ic,true,0.0001243702493703957,-0.02258315194774239,2998576.8972990722,0.7908351509383655,-2.7044790573474535,0.0001263849758300009,0.15399064028735898,0.027089236330462896,0.000015749737574858314,0.000006273539339210848,-0.0002571558593689844,15.749737572758939,,
142Ic,true,0.000003654741028782411,2.9138797324456704,160370.3764919341,4.1190333087081846e-17,-0.025863398452126124,0.00011026969845142719,0.9130309639347083,0.9080135195463261,8.00945684950538e-7,6.625103776326953e-7,-1.6471448829504977e-12,0.20023642123763455,,
143Ic,false,,,,,,,,,,,,,Insufficient data points (18 < 20),
145Ic,true,5.20281986329299e-7,1.4072240723584437,114932.33483222374,0.9999999999999999,-0.07930323804354063,0.00008429373354308885,0.19477623703867786,0.14832101994475544,0.0000030029609026719984,0.0000025732438373087794,0.00005706852788120117,0.8973426099904681,,
144Ic,true,0.0000033956364993897416,-2.6328450311785154,165026.34410570018,1.5084679840251237e-13,-0.017659814760604655,0.00012185786623089761,0.901568363591729,0.8958896153374056,7.869371549592323e-7,6.131406172525861e-7,1.2323281934440528e-10,0.5246247699728227,,
146Ic,true,0.000047916339160817086,0.29034195536692153,62.94043761903413,1.0016278890899022e-30,0.0015235746614220432,0.00001615874867670064,0.5781727063373422,0.5037325956909908,0.00002454329879686789,0.00001923938209856507,8.448006391997695e-9,4.090549799477984,,
148Ic,true,0.000004201998286552758,-0.25417896669719964,159231.99850200777,9.38138512161229e-18,-0.07134515283206011,0.00009482659228730273,0.9161408942633238,0.9113028689323618,9.887025256486594e-7,8.117143760146445e-7,-6.534312630519051e-14,0.2895843672173556,,
149Ic,true,0.00004330043552201162,0.7792198263767426,70.69175473357525,1.7548149939974362e-26,-0.00023972125003985073,0.000032823938528356825,0.6071922324749651,0.5378732146764296,0.000023944970017554917,0.000019059238930360233,-6.259360498751776e-8,3.192662669007322,,
147Ic,true,0.00004808886732432661,0.5318362359382144,67.12843539739507,9.60185514138507e-32,0.00047545048546759547,0.000027524179874270568,0.6286032069447955,0.5630625964056417,0.000024163893620650885,0.00001943740321469333,-3.6202391436949333e-9,3.221852482753452,,
151Ic,true,0.0000403309913359835,-0.19361017503054045,54.042218120843714,8.518659883956787e-10,0.0025933091110147406,0.0000015000000000292792,0.43406011558986446,0.3341883712821935,0.000023173805722799565,0.00001655305112651089,-0.012889153462236354,15.449198438537342,,
152Ic,true,0.0000027820986307667824,0.6494759937534595,318937.85687999823,7.641663274055512e-32,-0.0576611387910931,0.0000689258491681161,0.25813734219110307,0.023864923935661864,0.0000033945566213153217,0.000002621723413265601,1.9209127451073999e-10,0.8613144941360833,,
153Ic,true,0.000004686092205407387,1.8439737568257386,160648.99537226823,7.402230645427528e-18,-0.0696946095751714,0.00007693109379921035,0.9471666108447133,0.9295554811262844,7.758624250984673e-7,6.064465466730935e-7,-1.6163113514267026e-10,0.221674978599562,,
154Ic,true,0.000003306227941490795,1.379142935911588,160031.80629754157,9.408256541022234e-18,0.012740374451501028,0.00011778486174026288,0.9259654741224027,0.9158698569572759,6.68035018424031e-7,5.236765836403421e-7,-5.383042094863959e-10,0.2672140073696121,,
150Ic,true,0.000003892786066770348,-2.7245096795720483,160616.49158145426,3.8552698738667924e-13,-0.061531067511068585,0.00010309165603773754,0.9068166923480059,0.9014407322911601,9.207405406772875e-7,7.1848620561034e-7,-5.959627426189908e-10,0.9207405406772871,,
155Ic,false,,,,,,,,,,,,,Insufficient data points (14 < 20),
157Ic,true,0.00005362240501931156,-0.1596783974218521,55.961696748132105,6.923407805027342e-12,0.0031561941087501115,0.000002500000004634878,0.5986704201007912,0.5278475530597544,0.000022805451913142246,0.000018550803785074242,-0.0006890985542410925,0.6335054104286651,,
158Ic,true,0.004629475348224943,0.002403206703878305,1250.1919361356217,1.1667511678140939e-43,0.011200463810592755,5e-7,0.49069573646536624,0.25563223021861226,0.00003159848525144542,0.00002398329900656106,-0.2983891562795534,10.528600969573553,,
156Ic,true,0.000003951013223147657,0.5055204026778419,159198.39127576826,6.352906678346604e-20,0.005916290229355922,0.00011171538417312343,0.9482256753926338,0.9411655402189021,6.500039709320786e-7,5.053547369667431e-7,-7.355755220614543e-11,0.371430840532615,,
160Ic,false,,,,,,,,,,,,,Data quality insufficient: y_normalized: insufficient data variation (1 unique values) - skipping file,true
159Ic,true,0.00003618360059118258,1.7979410454804912,81.12331764478652,6.180408504639961e-21,-0.0011855113414975208,0.00004255675726175673,0.5638845497058504,0.4869229996539416,0.000023229026402078248,0.000016512088854586365,9.006753391885213e-9,7.743008800692748,,
161Ic,false,,,,,,,,,,,,,Insufficient data points (2 < 20),
163Ic,false,,,,,,,,,,,,,Data quality insufficient: y_normalized: insufficient data variation (1 unique values) - skipping file,true
164Ic,true,0.000003445171464100439,-1.2489505609275444,158673.063496459,2.729586174121661e-21,0.04996365609193017,0.00010784349890370371,0.9345349496868149,0.9256078973713806,6.663593344731134e-7,5.734374901020153e-7,9.161002893095799e-11,0.2665437337892444,,
162Ic,true,0.00004031304012531847,1.9773634246077627,82.99082862743016,6.579513365511255e-21,-0.0011725607638181327,0.00004536640190630623,0.6685196082068638,0.6100230684786634,0.00002041899088765579,0.000015653667280013875,-7.904623643986358e-9,20.418990887655774,,
166Ic,true,0.000044873251294456505,-0.053764909655622875,999140.3960642124,0.00028203872735301676,-0.15453953444764082,0.00007342340334227725,0.07804750296544005,-0.3474690341274338,0.000005292998347216604,0.000004036365130575441,0.00003348932181066189,0.9601835740695764,,
167Ic,false,,,,,,,,,,,,,Insufficient data points (18 < 20),
165Ic,true,0.00004134920826271206,2.054492481521352,84.64914985905425,7.471677710582075e-22,-0.001285943338254499,0.00004561850427072164,0.6437489880383737,0.5808811623980867,0.00002200219038663731,0.00001678465865468057,-6.141557679761607e-9,22.002190386637295,,
168Ic,true,0.0000041516112074422485,-1.074307075265197,158828.5034819795,1.084880305491433e-17,0.07559687320211646,0.00009601321692786604,0.9307577757839516,0.9267630320791795,8.489744090900035e-7,6.676580851138452e-7,1.9860144559933267e-10,0.4244872045450001,,
170Ic,true,0.00000384483903458747,2.262862456108588,158841.95624870015,8.344459015504947e-13,0.04065204304277304,0.00010532415480558256,0.9324646664436064,0.9285683971999683,7.712611227853275e-7,6.108087600657509e-7,5.578630710531926e-10,0.771261122785328,,
171Ic,true,0.00003803736235257656,1.2105275017045931,75.21746014515817,8.729112505828905e-24,-0.0006399951547849703,0.00003548419360471067,0.5926048826767039,0.520711626678475,0.000022411888198272,0.000017249823827943676,-2.0716619894894792e-7,22.411888198272,,
169Ic,true,0.00004335491377620835,1.962317305717247,84.1533246554952,4.872389395969338e-24,-0.0013887622946930297,0.00004735143785233827,0.6277883292668448,0.5621039167845232,0.00002395311397997053,0.000018555140397951634,-5.555579324492079e-9,11.976556989985264,,
173Ic,true,0.000046329090354876585,0.4338882470536804,64.8896406082969,1.0859955748186435e-27,0.0010830501864624855,0.000020656563089752858,0.6263776128010767,0.560444250354208,0.00002227574374203046,0.000017810757667125583,0.000011629023582922328,3.1822491059831033,,
174Ic,true,0.000003446212317906195,0.43965953500489924,159896.16301485838,1.1419107187259505e-21,-0.05112472744056375,0.00011110663367186245,0.9188955299044925,0.914216425860521,7.699935500533707e-7,5.840504743947633e-7,-4.846973673273431e-15,0.3849967750266864,,
172Ic,true,0.0000031518952074486796,-2.299605512500137,159063.72612264412,2.5281391260005275e-15,-0.0034319739538252745,0.00012079747840081376,0.8859374541722026,0.8793569226821373,7.931484259629076e-7,6.262173036835942e-7,-1.0058020482550067e-12,0.3965742129814525,,
175Ic,true,0.000042465320418346126,0.2806193485878206,63.231759357924425,1.207630059855414e-31,0.0009337850326863942,0.000020029236392685507,0.5747610630261685,0.4997188976778453,0.00002287162947607285,0.000018259826036401067,1.495889144802909e-8,11.43581473803644,,
176Ic,true,0.000004395464701680102,-0.7979101921034184,161809.53432674188,7.366053015490901e-20,-0.08478845125209951,0.0000933451793020467,0.9499990998824349,0.94711443256796,8.004831309096786e-7,6.500281906874194e-7,-2.598603934636337e-10,0.8004831309096792,,
177Ic,true,0.00003021172151609863,1.3140790336599208,77.82838716693432,5.078049670173101e-29,-0.0008832497729108021,0.00003117905843209022,0.5652035886264108,0.48847481014871874,0.000019244098355509878,0.0000145782514919845,-1.1629030690169368e-7,12.82939890367325,,
178Ic,true,0.0000036276160676415027,-1.1516331566152527,160226.75945668604,3.7276689319511515e-19,-0.019958702862105486,0.00009652248601554211,0.9214834071441663,0.9169536037101759,7.629800956669613e-7,6.021953268731034e-7,-6.207643008235562e-11,0.7629800956669608,,
179Ic,true,0.000037435584151758266,2.41719479549244,87.0827346758372,1.1024854405136403e-19,-0.0009158044060545619,0.00003949932874343942,0.6738493735934922,0.616293380698226,0.000018241199317446527,0.000014211769969728709,2.1792005598416194e-10,6.080399772482175,,
180Ic,true,0.00000515547864275968,2.0021111467370356,157600.05449743327,0.19135509606225692,0.09023942044928296,0.00004926991637691703,0.942204141937099,0.9388697655103931,0.0000010451539969375197,8.519353933869903e-7,-7.387202161291051e-11,0.5225769984687596,,
181Ic,true,0.00004106573820979,2.7489989184282253,87.71475046377937,7.217895170386522e-12,-0.0001742593051520658,0.00003595303770899423,0.7010192016471869,0.6482578842908082,0.000018465399283929152,0.000015103343220630147,-1.202310065057246e-8,18.465399283929152,,
182Ic,true,0.0000026145956235422517,0.17853991740523656,158578.7392059828,2.965386374382982e-16,0.05543315092566792,0.000015436050549808235,0.7219774923270641,0.70593773226901,0.0000012491637475627013,0.0000010545290948874566,-5.367598257758013e-13,0.5272783967440124,,
183Ic,true,0.00018167338101326673,-0.06410794517896898,1248.9844342104968,0.00018141215168978434,-0.0017513862706288997,0.00003913610657750302,0.09013431616768675,-0.0704302162733097,0.00003349370678312039,0.000024711350400809874,0.00022620593088150162,33.49370678235652,,
186Ic,true,0.0000031263813094103706,1.9738916767951018,143403.19951195928,3.2991990310634695e-21,-0.02606276093737322,0.00010742113918648481,0.8866496909341743,0.8801102500265305,7.942872965470243e-7,6.327769395587516e-7,1.153151648243996e-13,0.7942872965470249,,
185Ic,true,0.000003651374577418398,-1.4291019784524643,156076.93625949475,2.3763709017750177e-24,0.011221597147757738,0.00009850320862213692,0.9115604755712158,0.9064581953157089,8.098629647557408e-7,6.413846745758593e-7,8.445132081134886e-11,0.4049314823778688,,
