dataid,I_c,I_c_error,r_squared,chi_squared,processing_time
262Ic,1.4321398134730923e-05,,0.6599487079381929,,0
263Ic,5.080658945732938e-06,,0.7926889597676972,,0
264Ic,3.273580144215374e-06,,0.6663468990160865,,0
266Ic,5.157110590378443e-06,,0.7176465216102366,,0
267Ic,2.2545237704303484e-06,,0.8956416821433327,,0
265Ic,1.8808947610099954e-06,,0.47162309326575125,,0
268Ic,1.988169805136199e-06,,0.27291949239765234,,0
269Ic,2.899836437754709e-06,,0.9650585873849624,,0
270Ic,9.871232735281685e-07,,0.6762653760768518,,0
271Ic,8.451842159184707e-07,,0.5043863903836872,,0
273Ic,3.959724067830316e-06,,0.7899674733125898,,0
274Ic,2.4139809556885655e-06,,0.8352713297626344,,0
272Ic,5.894333265021287e-06,,0.8426934156711211,,0
275Ic,1.4570787194180592e-06,,0.6421770366225144,,0
276Ic,9.037063285172988e-07,,0.5868604617380325,,0
278Ic,1.3114190491666823e-06,,0.5922671714780479,,0
277Ic,6.819859134237593e-06,,0.7696370789697361,,0
279Ic,1.562464506749493e-07,,0.0652681434327147,,0
282Ic,6.961946668750007e-10,,0.42711272333686645,,0
283Ic,8.352223325409996e-07,,0.6937997329232408,,0
284Ic,2.7100745983101427e-07,,0.9553505254471022,,0
287Ic,8.148950595930226e-07,,0.8296763466153534,,0
288Ic,5.713625975714391e-07,,0.9540028992098082,,0
289Ic,5.362919730757722e-07,,0.09746476111157976,,0
290Ic,3.1657635950827077e-06,,0.6209975443182912,,0
291Ic,1.4624216307565085e-06,,0.8484671216175603,,0
293Ic,4.212326958580567e-07,,0.9721934935769825,,0
295Ic,3.730460348830769e-06,,0.5257316027138272,,0
296Ic,2.2623521827596883e-06,,0.14947082799714573,,0
298Ic,3.240326502334823e-06,,0.6643024346574358,,0
299Ic,2.970194341739091e-06,,0.9190501653607462,,0
301Ic,9.004816722047863e-07,,0.891939716686901,,0
303Ic,2.3899995246806013e-07,,0.963442031061767,,0
302Ic,2.3886130503926324e-07,,0.962858427875859,,0
305Ic,4.2340372424684616e-07,,0.9752771984589059,,0
306Ic,2.1013099099895047e-06,,0.5335950242613203,,0
304Ic,3.387007802674035e-06,,0.7892599720038681,,0
308Ic,4.7122573622758345e-06,,0.6682132040442239,,0
309Ic,1.0308319702795755e-05,,0.7280756728190731,,0
310Ic,2.0818646481627948e-07,,0.8851473742990816,,0
311Ic,9.379696467834734e-07,,0.5373183558418482,,0
307Ic,2.7553251836371357e-07,,0.01343342729253938,,0
312Ic,5.033230137423007e-06,,0.6091049169429051,,0
314Ic,3.6954725110404055e-06,,0.4802646810504927,,0
315Ic,4.1594419902535055e-06,,0.5793666347014506,,0
316Ic,1.8812356750198062e-06,,0.6686090069185333,,0
313Ic,6.761574373325184e-07,,0.40433074042083383,,0
317Ic,2.0333018224976654e-06,,0.9716692884303486,,0
318Ic,5.384977667066166e-06,,0.5855571958873698,,0
320Ic,9.153063271816558e-07,,0.685059033669778,,0
319Ic,4.525681842580066e-06,,0.38087546153212115,,0
322Ic,5.089064337376663e-07,,0.357474974767898,,0
323Ic,3.5104374366757957e-06,,0.5564694705478052,,0
324Ic,3.0134047069622258e-06,,0.3370549793116604,,0
325Ic,9.931346724009897e-07,,0.5863155492306318,,0
326Ic,7.237343538955396e-07,,0.3791409895704255,,0
321Ic,9.421395340549316e-07,,0.700940487458406,,0
327Ic,4.990369832532657e-07,,0.29980427410510657,,0
328Ic,2.844162251685711e-06,,0.7928534472183193,,0
329Ic,3.6438955713375474e-07,,0.16255014913302002,,0
330Ic,7.59684988342688e-07,,0.6059519936281289,,0
331Ic,2.0596618380333183e-06,,0.936876397790078,,0
332Ic,2.7884518274485106e-06,,0.769732067868003,,0
333Ic,5.250550322871113e-07,,0.1989788151222145,,0
335Ic,1.8625121758271007e-06,,0.9668329396444993,,0
336Ic,2.08465818599993e-06,,0.92057533391927,,0
334Ic,1.0383890307238982e-06,,0.8087574987921743,,0
337Ic,1.1281612287076414e-06,,0.9595286940813047,,0
338Ic,1.8197003483263496e-06,,0.9662884310966808,,0
340Ic,2.52395676533256e-06,,0.8711768578357502,,0
339Ic,1.849106776704209e-06,,0.9421470993765388,,0
341Ic,1.3638406619160991e-06,,0.9695480095697891,,0
343Ic,1.1179103115073816e-06,,0.38315132260150153,,0
342Ic,1.0733957722838637e-06,,0.3923502028483652,,0
344Ic,2.9172490213202314e-06,,0.9487638919182053,,0
345Ic,5.4467860459303185e-06,,0.8203740878812207,,0
347Ic,8.390043546708893e-06,,0.5951372501602032,,0
348Ic,7.342638279692948e-07,,0.571014673239827,,0
346Ic,3.6872140991629345e-06,,0.9358769359681045,,0
349Ic,8.698703685265623e-07,,0.6088670379604697,,0
350Ic,6.798599512109504e-06,,0.6116856507304961,,0
351Ic,9.65053445047902e-07,,0.17348230093827066,,0
354Ic,1.022300467860611e-05,,0.642374217829448,,0
352Ic,3.879920280831855e-06,,0.8231176585685802,,0
355Ic,3.8745937374122467e-07,,0.278918169219714,,0
357Ic,1.5150326550007787e-06,,0.5511576343226245,,0
356Ic,1.0957914535634895e-06,,0.5495964816321033,,0
358Ic,4.209159363385998e-06,,0.5125992095846197,,0
360Ic,1.2075452144587232e-06,,0.34667098363814575,,0
361Ic,1.722640445220289e-06,,0.4556896811650676,,0
359Ic,8.537189872871174e-06,,0.6598929180594553,,0
362Ic,4.386099340298665e-06,,0.5584729163049662,,0
364Ic,2.5108142032592333e-06,,0.4261461116023709,,0
363Ic,9.499448132507673e-07,,0.2680132504505053,,0
365Ic,1.979747021890859e-11,,0.006572814741822142,,0
367Ic,9.517650371675456e-07,,0.46413868382167145,,0
366Ic,1.1220113099831438e-06,,0.700287745028021,,0
368Ic,5.855263415295025e-06,,0.5859452480601699,,0
370Ic,8.53027692942783e-07,,0.7074386120168262,,0
371Ic,8.456125114080962e-07,,0.46002405003942304,,0
