dataid,success,I_c,phi_0,f,T,r,C,r_squared,adj_r_squared,rmse,mae,residual_mean,residual_std,error,skipped
137Ic-,False,,,,,,,,,,,,,Insufficient data points (14 < 20),
138Ic+,False,,,,,,,,,,,,,Insufficient data points (3 < 20),
138Ic-,False,,,,,,,,,,,,,Insufficient data points (3 < 20),
139Ic+,True,3.704517372315389e-06,-1.8946747206230368,158055.09003266785,1.379411427474714e-21,-0.014620060434988865,0.00011925812322559802,0.8383920362314935,0.8163545866266972,1.1586932810764232e-06,9.314638948658893e-07,2.401434171343128e-13,0.2896733202691056,,
139Ic-,False,,,,,,,,,,,,,Data quality insufficient: y_normalized: insufficient data variation (1 unique values) - skipping file,True
140Ic+,False,,,,,,,,,,,,,Insufficient data points (2 < 20),
140Ic-,False,,,,,,,,,,,,,Insufficient data points (2 < 20),
141Ic,True,0.0001243702493703957,-0.02258315194774239,2998576.8972990722,0.7908351509383655,-2.7044790573474535,0.0001263849758300009,0.15399064028735898,0.027089236330462896,1.5749737574858314e-05,6.273539339210848e-06,-0.0002571558593689844,15.749737572758939,,
142Ic,True,3.654741028782411e-06,2.9138797324456704,160370.3764919341,4.1190333087081846e-17,-0.025863398452126124,0.00011026969845142719,0.9130309639347083,0.9080135195463261,8.00945684950538e-07,6.625103776326953e-07,-1.6471448829504977e-12,0.20023642123763455,,
143Ic,False,,,,,,,,,,,,,Insufficient data points (18 < 20),
145Ic,True,5.20281986329299e-07,1.4072240723584437,114932.33483222374,0.9999999999999999,-0.07930323804354063,8.429373354308885e-05,0.19477623703867786,0.14832101994475544,3.0029609026719984e-06,2.5732438373087794e-06,5.706852788120117e-05,0.8973426099904681,,
144Ic,True,3.3956364993897416e-06,-2.6328450311785154,165026.34410570018,1.5084679840251237e-13,-0.017659814760604655,0.00012185786623089761,0.901568363591729,0.8958896153374056,7.869371549592323e-07,6.131406172525861e-07,1.2323281934440528e-10,0.5246247699728227,,
146Ic,True,4.7916339160817086e-05,0.29034195536692153,62.94043761903413,1.0016278890899022e-30,0.0015235746614220432,1.615874867670064e-05,0.5781727063373422,0.5037325956909908,2.454329879686789e-05,1.923938209856507e-05,8.448006391997695e-09,4.090549799477984,,
148Ic,True,4.201998286552758e-06,-0.25417896669719964,159231.99850200777,9.38138512161229e-18,-0.07134515283206011,9.482659228730273e-05,0.9161408942633238,0.9113028689323618,9.887025256486594e-07,8.117143760146445e-07,-6.534312630519051e-14,0.2895843672173556,,
149Ic,True,4.330043552201162e-05,0.7792198263767426,70.69175473357525,1.7548149939974362e-26,-0.00023972125003985073,3.2823938528356825e-05,0.6071922324749651,0.5378732146764296,2.3944970017554917e-05,1.9059238930360233e-05,-6.259360498751776e-08,3.192662669007322,,
147Ic,True,4.808886732432661e-05,0.5318362359382144,67.12843539739507,9.60185514138507e-32,0.00047545048546759547,2.7524179874270568e-05,0.6286032069447955,0.5630625964056417,2.4163893620650885e-05,1.943740321469333e-05,-3.6202391436949333e-09,3.221852482753452,,
151Ic,True,4.03309913359835e-05,-0.19361017503054045,54.042218120843714,8.518659883956787e-10,0.0025933091110147406,1.5000000000292792e-06,0.43406011558986446,0.3341883712821935,2.3173805722799565e-05,1.655305112651089e-05,-0.012889153462236354,15.449198438537342,,
